Album,Song,Year,Total_Streams,Daily,Lyrics
Reputation,Dress,2017,181407724,289011,secret moments crowded room got idea indentation shape made mark golden tattoo precious silence patience pining anticipation hands shaking holding back ha ah ah silence patience pining desperately waiting hands shaking ah ha ha hath chorus say name everything stops dont want like best friend bought dress could take take ha ha hath carve name bedpost i cause dont want like best friend bought dress could take take ha ha hath verse 2 inescapable im even gon na try get burned least electrified i spilling wine bathtub kiss face drunk everyone thinks know us know nothin precious silence patience pining anticipation hands shaking holding back ha ah ah silence patience pining desperately waiting hands shaking ah ha ha hath might also say name everything stops dont want like best friend bought dress could take take ha ha hath carve name bedpost cause dont want like best friend bought dress could take take ha ha hannah hannah hahaha bought dress could take hannah hannah hahaha bought dress could take bridge flashback met hair bleached even worst times could see best flashback mistakes rebounds earthquakes even worst lies saw truth woke time wake side one lifeline woke time wake side hands shake cant explain ah ha ha hath chorus say name everything stops dont want like best friend bought dress could take take ha ha hath carve name bedpost i cause i want like best friend bought dress could take take ha ha hath outdo indentation shape bought dress could take made mark golden tattoo bought dress could take
SpeakNow,Enchanted,2010,536112414,1528131,tonight forcing laughter faking smiles old tired lonely place walls insincerity shifting eyes vacancy vanished saw face say enchanting meet verse 2 eyes whispered met across room silhouette starts make way playful conversation starts counter quick remarks like passing notes secrecy enchanting meet say enchanted meet chorus night sparkling dont let go im blushing way home ill spend forever wondering knew enchanted meet verse 3 lingering question kept am love wonder til im wide awake im pacing back forth wishing door id open would say hey enchanting meet know enchanted meet might also night sparkling dont let go im blushing way home ill spend forever wondering knew night flawless dont let go im dancing around alone ill spend forever wondering knew enchanted meet guitar solo bridge praying first page storyline ends thoughts echo name see words held back leaving soon enchanted meet please dont love someone else please dont somebody waiting please dont love someone else ooh please dont somebody waiting ooh oh chorus night sparkling dont let go im blushing way home ill spend forever wondering knew night flawless please dont love someone else dont let go im please dont somebody waiting dancing around alone ill spend forever please dont love someone else wondering knew enchanted meet outdo please dont love someone else please dont somebody waiting
Reputation,EndGame,2017,365609447,254372,wan na end game wan na first string wan na team woah woah woah wan na end game end game taylor swift future big reputation big reputation ooh got big reputations ah heard ooh got big enemies yeah big reputation big reputation ooh would big conversation ah git git heard ooh yeah like bad ones verse 1 future dope dont overdose i stoked need toast im ghost like im whipping i boat boat boat boat got reputation girl dont precede yeah im one call away whenever need yeah im go yeah come aside yeah got bad boy persona thats like thats like love love cause type type hold protect life life life precious taylor swift future dont wan na touch i wan na another love i wan na see dont wan na miss i wan na miss like girls dont wan na hurt wan na drinking beach know say know say aint tryna play chorus taylor swift wan na end game end game wan na first string first string wan na team team wan na end game end game might also 2 ed sheer knew young reconnected little bit older sprung got issues chips shoulders reputation precedes rumors im truth i easier ignore believe even wed argue wed long understand good bad end song beautiful traits way ease flaws paranoia insecurities ive made mistakes made choices thats hard deny storm something born ith july ive passed days without fun end game one four words tip tongue ill never say precious taylor swift taylor swift future dont wan na touch dont wan na another love dont wan na see dont wan na miss dont wan na miss like girls dont wan na hurt wan na drinking beach know say yeah aint tryna play chorus taylor swift wan na end game end game wan na first string wan na first string wan na team team wan na end game end game taylor swift taylor swift future big reputation big reputation ooh got big reputations ah heard ooh got big enemies hey big reputation big reputation yeah ooh would big conversation ah heard ooh like bad ones verse 3 taylor swift hit like bang tried forget couldnt bury hatchets keep maps put em reputation precedes told im crazy swear dont love drama loves cant let go handprints soul like eyes liquor like body gold youve callin bluff usual tricks ooh heres truth red lips ah chorus taylor swift future ed sheer wan na end game end game wan na first string first string wan na team team team wan na end game end game wan na end game oh wan na first string first string wan na team team wan na end game end
Folklore,epiphany,2020,130537483,108424,keep helmet keep life son flesh wound heres rifle crawling beaches sir think hes bleeding things cant speak chorus serve fall watch breathe watch breathing verse 2 something med school cover someones daughter someones mother holds hand plastic doc think shes crashing things cant speak bridge twenty minutes sleep dream epiphany one single glimpse relief make sense youve seen chorus serve fall watch breathe watch breathing serve serve fall watch breathe watch breathe watch breathing might also twenty minutes sleep dream epiphany one single glimpse relief make sense youve
Evermore,evermore,2020,140815341,127298,gray november ive since july motion capture put bad light replay footsteps stepping stone trying find one went wrong writing letters addressed fire chorus taylor swift catching breath staring open window catching death couldnt sure feeling peculiar pain would evermore verse 2 taylor swift hey december guess im feeling moored cant remember used fight rewind the tape pause the moment lost sending signals might also taylor swift justin vernon catching breath barefoot wildest winter catching death couldnt sure feeling peculiar pain would evermore evermore bridge justin vernon taylor swift cant think cost things lost oh get pause certain well tall whether weather frost violence dog days im waves tossed line could go cross shipwrecked cant think cost thought things lost cracks light get pause dreamed certain well tall think costs real enough whether weather frost get violence dog days violence dog days waves tossed im waves tossed swear line go cross chorus taylor swift justin vernon catching breath floors cabin creaking step couldnt sure feeling peculiar pain wouldnt evermore evermore evermore pain wouldnt evermore
Red,EverythingHasChanged,2012,248075320,87137,good go verse 1 taylor swift knew morning woke know something know something didn't ive seen since 18 hours ago green eyes freckles smile back mind making feel like precious taylor swift ed sheer wan na know better know better know better wan na know better know better know better wan na know better know better know better wan na know know know chorus taylor swift ed sheer cause know said hello eyes look like coming home know simple name everything changed know held door youll mine ill know since yesterday everything changed verse 2 ed sheer taylor swift walls stood tall painted blue ill take em take em open door feel stomach butterflies beautiful kind making lost time taking flight making feel right might also taylor swift ed sheer wan na know better know better know better wan na know better know better know better wan na know better know better know better wan na know know know chorus taylor swift ed sheer cause know said hello eyes look like coming home know simple name everything changed know held door youll mine ill know since yesterday everything changed bridge taylor swift ed sheer come back tell im feeling like ive missed time meet tonight let know mind precious taylor swift wan na know better know better know better wan na know know know chorus taylor swift ed sheer cause know said hello eyes look like coming home know simple name everything changed know held door youll mine ill know since yesterday everything changed outdo taylor swift know said hello dust highest hopes know pouring rain everything changed know new found grace days ill know face know since yesterday everything
Folklore,exile,2020,539307630,402285,see standing honey arms around body laughing jokes funny took five whole minutes pack us leave holding love hall chorus justin vernon think ive seen film didn't like ending your homeland anymore defending town im exile seein think ive seen film justin vernon ooh ooh ooh verse 2 taylor swift see staring honey like hes understudy like youd get knuckles bloody second third hundredth chances balancing breaking branches eyes add insult injury might also taylor swift think ive seen film didn't like ending im problem anymore offending crown im exile seein think ive seen film im leaving side door bridge justin vernon taylor swift step right amount crying time always walked thin line didn't even hear didn't even hear never gave warning sign gave many signs time never learned read mind never learned read mind couldnt turn things around never turned things around cause never gave warning sign gave many signs many signs many signs didn't even see signs chorus taylor swift justin vernon taylor swift think ive seen film didn't like ending your homeland anymore defending town im exile seein think ive seen film im leavin side door outdo justin vernon taylor swift step right amount crying time always walked thin line didn't even hear didn't even hear never gave warning sign gave many signs time never learned read mind never learned read mind couldnt turn things around never turned things around cause never gave warning sign gave many signs never gave warning sign time many times never learned read mind many signs couldnt turn things around couldnt turn things around cause never gave warning sign never gave warning sign never gave warning sign ah
Red,EyesOpen,2012,13820630,112330,everybodys waitin everybodys watchin even your sleeping keep eyes open verse 1 tricky thing yesterday children playing soldiers pretending dreaming dreams happy endings backyards winning battles wooden swords weve stepped cruel world everybody stands keeps score precious keep eyes open chorus everybodys waitin break everybodys watchin see fallout even your sleeping sleeping keep eyes open keep eyes open keep eyes open verse 2 two steps ahead staying guard every lesson forms new scar never thought youd make far turn around turn around oh theyve surrounded showdown showdown nobody comes save got somethin dont yeah got somethin dont precious got ta keep eyes open might also everybodys waitin break everybodys watchin see fallout even your sleeping sleeping keep eyes open keep eyes open keep eyes bridge keep feet ready heartbeat steady keep eyes open keep aim locked night goes dark keep eyes open keep eyes open keep eyes open keep eyes open keep eyes open chorus everybodys waitin break everybodys watchin see fallout even your sleeping sleeping keep eyes open keep eyes open keep eyes open keep eyes open keep eyes
Lover,FalseGod,2019,142935833,264990,crazy think crazy think could work remember said id die stupid jump ocean separating us remember i fly precious cant talk your like staring window like i favorite town im new york city still babe warned us times like say road gets hard get lost your led blind faith blind faith chorus might get away religions lips even false god wed still worship might get away altar hips even false god wed still worship love i still worship love i still worship love verse 2 know heavens thing go touch honey hell fight patch good make confessions i begging forgiveness got wine precious cant talk im like daring leave try scare your west village still babe warned us times like say road gets hard get lost i led blind faith blind faith might also might get away religions lips even false god wed still worship might get away altar hips even false god wed still worship love wed still worship love wed still worship love ah outdo still worship love even false god even false god still worship
Fearless,Fearless,2008,101494148,317670,theres something bout way street looks rained theres glow pavement walk car know wan na ask dance right middle parking lot yeah oh yeah verse 2 driving road wonder know im trying hard get caught your cool run hands hair absentminded making want chorus dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless verse 3 baby drive slow til run road onshore town wan na stay right passengers seat put eyes moment capture remember chorus cause dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless oh oh bridge well stood doorway hands shake im usually way pull im little brave first kiss flawless really something fearless oh yeah might also cause dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless cause dont know gets better take hand drag head first fearless dont know id dance storm best dress fearless outdo oh oh ooh
Fearless,Fifteen,2008,101109211,50524,take deep breath walk doors mornin first day say hi friends aint seen try stay everybodys way freshman year your gon na next four years town hoping one senior boys wink say know havent seen around chorus cause your fifteen somebody tells love your gon na believe your fifteen feelin like theres nothin figure well count ten take life know your gon na fifteen verse 2 sit class next redhead named abigail soon enough your best friends laughing girls think there cool well outta soon your first date hes got car your feelin like flying mamas waitin your thinkin hes one your dancin round room night ends night ends might also cause your fifteen somebody tells love your gon na believe your fifteen first kiss makes head spin round life youll things greater dating boy football team didn't know fifteen bridge wanted wanted wish could go back tell know back swore gon na marry someday realized bigger dreams mine abigail gave everything boy changed mind cried chorus cause your fifteen somebody tells love your gon na believe your fifteen dont forget look fall ive found time heal anything might find your supposed didn't know supposed fifteen lalala lalala lalala lalala lalala lalala lalala lalala outdo first day take deep breath girl take deep breath walk
Fearless,ForeverAndAlways,2008,48766142,18774,upon time believe tuesday caught eye caught onto something hold onto night looked eye told loved kidding cause seems thing breaking almost never speak dont feel welcome anymore baby happened please tell cause one second perfect your halfway door chorus stare phone still hasn't called feel low cant feel nothing flashback said forever always oh rains bedroom everything wrong rains your rains your gone cause said forever always verse 2 line say something way honest made run hide like scared little boy looked eyes thought knew minute im sure heres everything coming nothing heres silence cuts core going thought knew minute dont anymore might also stare phone still hasn't called feel low cant feel nothing flashback said forever always oh rains bedroom everything wrong rains your rains your gone cause said forever always didn't mean baby dont think bridge oh back baby back forget everything back baby back forget everything chorus cause rains bedroom everything wrong rains your rains your gone cause said forever always oh stare phone still hasn't called feel low cant feel nothing flashback said forever always rains bedroom everything wrong rains your rains your gone cause said forever always outdo didn't mean baby said forever always
Reputation,GetawayCar,2017,376787111,754854,nothing good starts getaway car verse 1 best times worst crimes struck match blew mind didn't mean i see ties black lies white shades gray candlelight wanted leave needed reason precious i marks spot fell apart poisoned well lying knew first old fashioned cursed never shotgun shot dark oh chorus drivin getaway car flying i wed never get far dont pretend mystery think place first met riding getaway car sirens beat heart shouldve known id first leave think place first met getaway car oooh never get far hookah nothing good starts getaway car verse 2 great escape prison break light freedom face werent thinkin i drinking i runnin us screaming i go go go three us honey sideshow circus aint love story sorry i sorry might also i marks spot fell apart poisoned well every man knew first old fashioned cursed hit like shotgun shot heart oh chorus drivin getaway car flying wed never get far dont pretend mystery think place first met riding getaway car sirens beat heart shouldve known id first leave think place first met getaway car oooh never get far hookah nothing good starts getaway car bridge reset bonnie clyde ooh switched side side surprise turned ooh cause us traitors never win breakdown im getaway car left motel bar put money bag stole keys last time ever saw oh chorus drivin getaway car flying wed never get far dont pretend dont pretend mystery think place first met riding getaway car sirens beat heart shouldve known shouldve known id first leave think place first met getaway car oooh never get far hookah nothing good starts getaway car outdo riding getaway car crying getaway car dying getaway car said goodbye getaway car riding getaway car crying getaway car dying getaway car said goodbye getaway
Red,GirlatHome,2012,21809222,4172,dont look got girl home everybody knows everybody knows ahah dont look got girl home everybody knows verse 1 dont even know feel responsibility whats upstanding right kinda like code yeah youve getting closer closer crossing many lines precious would fine proposition stupid girl honey ones exception previously learned chorus dont look got girl home everybody knows everybody knows ahah dont look got girl home everybody knows everybody knows see turn phone youve got alone say dont look got girl home everybody knows everybody knows verse 2 want make sure understand perfectly your kind man makes sad waits chase newest thing take granted precious would fine proposition stupid girl yeah might go hadnt like might also dont look got girl home everybody knows everybody knows ahah dont look got girl home everybody knows everybody knows see turn phone youve got alone say dont look got girl home everybody knows everybody knows oooh oooh oooh oooh bridge call cab lose number your lose girl call cab lose number lets consider lesson learned chorus dont look got girl home everybody knows everybody knows ahah dont look got girl home everybody knows everybody knows want see pick phone tell your coming home dont look got girl home everybody knows everybody knows outdo dont look got girl home everybody knows everybody knows would fine proposition hadnt like
Evermore,goldrush,2020,198886018,197471,gleaming twinkling eyes like sinking ships waters inviting almost jump chorus dont like gold rush gold rush dont like anticipation face red flush dont like anyone would die feel touch everybody wants everybody wonders would like love walk past quick brush dont like slow motion double vision rose blush dont like falling feels like flying til bone crush everybody wants dont like gold rush verse 1 must like grow beautiful hair falling place like dominoes see padding across wooden floors eagles shirt hanging door refrain dinner parties call shit coastal town wandered round never seen love pure then fades gray ahold tea cause could never might also cause dont like gold rush gold rush dont like anticipation face red flush dont like anyone would die feel touch everybody wants everybody wonders would like love walk past quick brush dont like slow motion double vision rose blush dont like falling feels like flying til bone crush everybody wants dont like gold rush verse 2 must like grow beautiful hair falling place like dominoes mind turns life folklore cant dare dream anymore refrain dinner parties wont call shit coastal town never found never see love pure cause fades gray ahold tea cause never outdo gleaming twinkling eyes like sinking ships waters inviting almost jump
Reputation,Gorgeous,2017,413617297,497273,gorgeous verse 1 take compliment got drunk made fun way talk think consequence magnetic field little strong got boyfriend hes older us hes club doin dont know your cool makes hate much hate much precious whisky ice sunset vine youve ruined life mine chorus your gorgeous cant say anything face cause look face gorgeous im furious making feel way say your gorgeous verse 2 take compliment im talking everyone think consequence touching hand darkened room dark room dark room youve got girlfriend im jealous your single thats honestly worse cause your gorgeous actually hurts honey hurts precious ocean blue eyes looking mine feel like might sink drown die might also your gorgeous cant say anything face face cause look face look face gorgeous im furious making feel way feel way say your gorgeous bridge make happy turns back sad theres nothing hate cant gorgeous makes mad mah make happy turns back sad yeah theres nothing hate cant guess ill stumble home cats yeah alone unless wan na come along oh chorus your gorgeous cant say anything face face cause look face look face gorgeous im furious im furious making feel way feel way say say your gorgeous outdo make happy turns back sad yeah theres nothing hate cant gorgeous makes mad mah your gorgeous make happy turns back sad turns back sad theres nothing hate cant cant gorgeous makes mad mah your
Evermore,happiness,2020,128822765,111392,honey im trees see im right years ive given shit dividing showed hiding spots dancing music stopped disbelief cant face reinvention havent met new yet chorus there'll happiness happiness things true happiness past blood bruise past curses cries beyond terror nightfall haunted look eyes wouldve loved lifetime leave behind happiness verse 2 tell winning smile begin look like smirk lessons start look like weapons pointed deepest hurt hope shell beautiful fool takes spot next didn't mean sorry cant see facts fury havent met new yet might also there'll happiness happiness things believe happiness history across great divide glorious sunrise dappled flickers light dress wore midnight leave behind happiness bridge cant make go away making villain guess price paid seven years heaven pulled body mine every goddamn night get fake niceties one teaches good man hurts know hurt verse 3 honey im trees see eyes leak acid rain pillow used lay head giving best tell give want green light forgiveness havent met new yet think shell give chorus there'll happiness happiness things true happiness history across great divide glorious sunrise dappled flickers light dress wore midnight leave behind oh leave behind leave behind
SpeakNow,Haunted,2010,81872746,159366,walk fragile line known time never thought id live see break getting dark quiet cant trust anything coming like big mistake precious woah holding breath wont lose somethings made eyes go cold chorus come come dont leave like thought figured somethings gone terribly wrong your wanted come come dont leave like thought figured cant breathe whenever your gone cant turn back im haunted verse 2 stood watched walk away everything still mean every word said try take away pain might make smile whole time im wishing instead might also oh holding breath wont see something keeps holding onto nothing chorus come come dont leave like thought figured somethings gone terribly wrong your wanted come come dont leave like thought figured cant breathe whenever your gone cant turn back im haunted bridge know know know your gone cant gone chorus come come dont leave like thought figured somethings gone terribly wrong wont finish started come come dont leave like thought figured cant breathe whenever your gone cant go back im haunted outdo ooh ooh ooh oh walk fragile line known time never ever thought id see break never thought id see
Fearless,HeyStephen,2008,44492225,17753,mommy ummm mommy ummm mommy ummm yeah verse 1 hey stephen know looks deceiving know saw light walked talking didn't say half things wanted girls tossing rocks window ill one waiting even cold hey stephen boy might believing dont always alone chorus cause cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mom cant help verse 2 hey stephen ive holding back feeling got things say ha ive seen thought never seen nobody shine way way walk way talk way say name beautiful wonderful dont ever change hey stephen people always leaving think stay might also cause cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mom cant help bridge there dimming street lights your perfect arent tonight im waiting alone come come pull near shine shine shine breakdown hey stephen could give fifty reasons one choose girls well there beautiful would write song haha chorus cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mom cant help look like angel cant help wan na kiss rain come feel magic ive feeling since met cant help theres one else mom cant help outdo cant help cant help
Folklore,hoax,2020,128212404,118774,one smoking gun eclipsed sun broken twisted knife sleepless night witless fight frozen ground chorus stood cliffside screaming give reason faithless loves hoax believe dont want shade blue sadness world would verse 2 best laid plan sleight hand barren land ash fire chorus stood cliffside screaming give reason faithless loves hoax believe dont want shade blue sadness world would might also know left part back new york knew hero died whats movie knew still hurts underneath scars pulled apart knew password let door knew whats point keeping score knew still hurts underneath scars pulled apart dark ah ah ah darling hard pulled apart outdo one kingdom come undone broken drum beaten heart dont want shade blue sadness world would
Red,HolyGround,2012,51215988,12789,reminiscing day coffee alone lord took away back feeling new york time back fit poems like perfect rhyme took faster green light go hey skip conversation already know left note door joke wed made first day chorus darling good never looking right stood holy ground verse 2 spinning like girl brand new dress big wide city blocked noise sound need first time something lose guess fell apart usual way story got dust every page sometimes wonder think see face every crowd chorus cause darling good never looking right stood holy ground bridge tonight im gon na dance weve dont wan na dance im dancing tonight im gon na dance like room dont wan na dance im dancing might also good never looking right stood holy ground outdo tonight im gon na dance weve dont wan na dance im dancing tonight im gon na dance like room dont wan na dance im dancing
1989,HowYouGetTheGirl,2014,121914366,178921,oh oh oh oh oh oh ooh ooh verse 1 stand like ghost shaking rain rain shell open door say insane say long six months afraid tell want want precious thats works thats get girl say chorus want worse better would wait forever ever broke heart ill put back together would wait forever ever thats works thats get girl girl ooh oh thats works thats get girl girl verse 2 remind used pictures frames kisses cheeks cheeks tell must lost mind ooooh left alone never told precious thats works thats lost girl say might also want worse better would wait forever ever ever ever broke heart ill put back together would wait forever ever thats works thats get girl girl ooh ooh thats works thats get girl girl yeah yeah bridge know oh oh oh oh oh oh oh oh oh oh dont want go oh oh breakdown remind used pictures frames kisses cheeks say want say chorus want worse better worse better would wait forever ever ever ever broke heart ill put back together want forever ever would wait forever ever thats works thats get girl girl works thats works thats get girl girl get girl thats works thats works thats get girl girl oh oh oh oh oh oh oh oh oh oh thats works thats get girl girl oh oh oh oh oh oh oh oh oh oh outdo thats works thats got
Red,IAlmostDo,2012,58523119,13049,bet time night i still bet i tired long hard week bet i sittin chair window looking city bet sometimes wonder bout chorus wan na tell takes everything call wish could run hope know every time i almost almost verse 2 bet think either moved hate i cause time reach i reply bet never ever occurred i say hello risk another goodbye chorus wan na tell takes everything call wish could run hope know every time i almost almost bridge oh made quite mess babe i probably better way confess babe dreams i touching face asking want try almost chorus wan na tell takes everything call wish could run hope know every time i almost almost might also bet time night i still bet i tired long hard week bet i sittin chair window looking city hope sometimes wonder bout
Reputation,IDidSomethingBad,2017,295102052,292119,never trust narcissist love play em like violin make look oh easy cause every lie tell tell three world works thinks precious feel flames skin crimson red paint lips man talks shit owe nothing dont regret one bit cause coming chorus say something bad whys feel good say something bad whys feel good fun ever id could felt good good dada dada verse 2 never trust playboy love fly em around world let think saved never see comin next world works got ta leave get left precious feel flames skin says dont throw away good thing drops name owe nothin spends change comin might also say something bad oh whys feel good say something bad whys feel good fun ever id could felt good good felt good dada dada bridge there burning witches even arent one got pitchforks proof receipts reasons there burning witches even arent one light light light light light go ahead light light light light light light light light light chorus say something bad oh whys feel good good say something bad whys feel good good fun ever fun ever id could felt good good good dada dada outdo oh say something bad say something bad whys feel good good bad whys feel good whys feel whys feel good bad felt good
Lover,IForgotThatYouExisted,2019,263261636,189297,many days spend thinking bout wrong wrong wrong lived shade throwing til sunshine gone gone gone couldnt get away ya feelings drake yeah name lips free rent living mind precious something happened one magical night chorus forgot existed thought would kill didn't nice peaceful quiet forgot existed isn't love isn't hate indifference forgot verse 2 got popcorn soon rep started going laughed school yard soon tripped hit ground ground ground wouldve stuck around ya wouldve fought whole town yeah wouldve right front row even nobody came show precious showed one magical night chorus forgot existed thought would kill didn't nice peaceful quiet forgot existed isn't love isn't hate indifference forgot might also sent clear message taught hard lessons forget blur chorus forgot existed thought would kill didn't nice peaceful quiet forgot existed isn't hate indifference isn't love isn't hate indifference
Fearless,IfThisWasaMovie,2008,20147471,179991,last night heard heart beating sounded like footsteps stairs six months gone im still reaching even though know your playin back thousand memories baby thinkin bout everything weve maybe ive going back much lately time stood still chorus come back come back come back like would would movie stand rain outside til came come back come back come back like could could said your sorry know could work somehow movie youd verse 2 know people change things happen remember back wrapped arms friends laughing cause nothing like ever happened im pacing hall chasing street flashback night said nothings gon na change back knew much lose chorus come back come back come back like would would movie stand rain outside til came come back come back come back like could could said your sorry know could work somehow movie youd bridge your your somewhere your moving ive waiting every day since youve gone want back way wan na see back front door breakdown say come back come back come back like would said easy fight locked take back might also come back come back come back like would would movie stand rain outside til came come back come back come back like could could said your sorry know could work somehow movie youd outdo youd kind ending wan na see baby ending oh thought youd oh oh thought youd
Red,IKnewYouWereTrouble,2012,167233377,414081,upon time mistakes ago sights got alone found found found peewee guess didn't care guess liked fell hard took step back without without without peewee precious hes long gone hes next realize blame chorus cause knew trouble walked shame my flew places id never til put oh knew trouble walked shame flew places id never im lying cold hard ground oh oh trouble trouble trouble oh oh trouble trouble trouble verse 2 apologies hell never see cry pretends doesn't know hes reason your drowning your drowning your heard moved whispers street new notch belt ill ever see see precious long gone met realize joke hey might also knew trouble walked oh shame flew places id never til put oh knew trouble walked shame flew places id never yeah im lying cold hard ground oh oh yeah trouble trouble trouble trouble oh oh trouble trouble trouble bridge saddest fear comes creeping never loved anyone anything yeah chorus knew trouble walked shame flew places id never never til put oh knew trouble walked knew right shame knew right flew places id never ooh im lying cold hard ground oh oh trouble trouble trouble oh oh oh trouble trouble trouble trouble cause knew trouble walked trouble trouble trouble cause knew trouble walked trouble trouble
1989,IKnowPlaces,2014,100180438,114007,recorder click ii ii ii verse 1 stand hand waistline scene plain sight hear whisper pass bad sign bad sign something happens everybody finds see vultures circling dark clouds loves fragile little flame could burn could burn precious cause got cages got boxes guns hunters foxes run chorus baby know places wont found theyll chasing tails trying track us cause know places hide know places know places verse 2 lights flash well run fences let say want wont hear loose lips sink ships damn time time precious grab hand dont ever drop love hunters foxes run chorus baby know places wont found theyll chasing tails trying track us cause know places hide know places might also hunters foxes run grab hand dont ever drop love chorus baby know places wont found theyll chasing tails trying track us cause know places hide know places outdo take shots bulletproof know places know always know places dead night eyes green know places know always know places ii ii recorder
Folklore,illicitaffairs,2020,223571809,340920,make sure nobody sees leave hood head keep eyes tell friends your run i flushed return take road less traveled tell always stop started beautiful rooms ends meetings parking lots chorus thats thing illicit affairs clandestine meetings longing stares born one single glance dies dies dies million little times verse 2 leave perfume shelf picked leave trace behind like i even exist take words dwindling mercurial high drug worked first hundred times might also thats thing illicit affairs clandestine meetings stolen stares show truth one single time lie lie lie million little times bridge wan na scream dont call kid dont call baby look godforsaken mess made showed colors know cant see anyone else dont call kid dont call baby look idiotic fool made taught secret language cant speak anyone else outdo know damn well would ruin million little
TaylorSwift,ImOnlyMeWhenImWithYou,2006,34851883,42979,friday night beneath stars field behind yard painting pictures sky sometimes dont say thing listen crickets sing everything need right side precious know everything dont wan na live without chorus im your dont wan na fly your still ground like matter well drive crazy half time half im tryin let know feel true im im verse 2 boy girl livin crazy world tryna figure isn't true dont try hide tears secrets deepest fears nobody gets like precious know everything say cant live without chorus im your dont wan na fly your still ground like matter well drive crazy half time half im tryin let know feel true im im might also im anybody else hard tell chorus im your dont wan na fly your still ground like matter well drive crazy half time half im tryin let know feel true im wan na well im im outdo
SpeakNow,Innocent,2010,44196652,63561,guess really time left war path lost balance tightrope lost mind trying get back precious want easier lunchbox days always bigger bed crawl want beautiful believed everything everybody believed chorus alright wait see string lights still bright oh youve your still innocent your still innocent verse 2 things cant speak night live wouldnt shattered floor seen know precious want easier days everything reach someone bigger brought want beautiful running wild til fell asleep monsters caught might also alright wait see string lights still bright oh youve your still innocent okay life tough crowd still growing your still innocent bridge time turns flames embers youll new september every one us messed ooh minds change like weather hope remember today never late brand new oh chorus alright wait see string lights still bright oh youve your still innocent okay life tough crowd still growing your still innocent your still innocent outdo lost balance tightrope oh never late get
TaylorSwift,Invisible,2006,24215225,29831,cant see way eyes light smile shell never notice stop stare whenever walks precious cant see wanting way want everything chorus wan na show dont even know shes never gon na love like want see right knew could beautiful miracle unbelievable instead invisible oh yeah oh verse 2 theres fire inside cant help shine shes never gon na see light matter precious think make think everything could chorus wan na show dont even know shes never gon na love like want see right knew could beautiful miracle unbelievable instead invisible bridge like shadows faded light oh invisible wan na open eyes make realize might also wan na show dont even know baby let love let want see right knew could beautiful miracle unbelievable instead invisible oh yeah outdo cant see way eyes light
Folklore,invisiblestring,2020,227830385,267278,green color grass used read centennial park used think would meet somebody teal color shirt sixteen yogurt shop used work make little money chorus time curious time gave compasses gave signs clues didn't see isn't pretty think along invisible string tying verse 2 bad blood song cab first trip la ate favorite spot dinner bold waitress threeyears trip getting lunch lakes said looked like american singer might also time mystical time cutting open healing fine clues didn't see isn't pretty think along invisible string tying bridge string pulled wrong arms right dive bar something wrapped past mistakes barbed wire chains around demons wool brave seasons one single thread gold tied verse 3 cold steel axe grind boys broke heart send babies presents gold color leaves showed around centennial park hell journey brought heaven chorus time wondrous time gave blues skies cool baby isn't pretty think along invisible string tying outdo haha
Lover,IThinkHeKnows,2019,184253323,238395,think knows footprints sidewalk lead cant stop go every night think knows hands around cold glass make wan na know body like mine precious got boyish look like man architect im drawing plans like im 17 nobody understands one understands chorus got heartbeat skipping with avenue got ah mean wan na see whats attitude like want bless soul aint got ta tell think knows think knows verse 2 think knows get alone ill make home hell want stay think knows hed better lock wont stick around cause good ones never wait ha precious got boyish look like man architect im drawing plans hes obsessed boy understand boy understand chorus got heartbeat heartbeat skipping with avenue got ah mean mean wan na see whats attitude like want bless soul aint got ta tell think knows think knows might also want bless want bless want bless want bless soul bridge lyrical smile indigo eyes hand thigh could follow sparks ill drive lyrical smile indigo eyes hand thigh could follow sparks ill drive gon na go whisper dark gon na go think knows chorus got heartbeat heartbeat skipping with avenue baby got ah mean mean wan na see whats attitude like yeah want bless soul aint got ta tell think knows think knows want bless want bless want bless oh baby want bless soul got heartbeat want bless skipping with avenue baby want bless want bless soul aint got ta tell think
Lover,ItsNicetoHaveaFriend,2019,93576473,99685,ooh ooh verse 1 school bell rings walk home sidewalk chalk covered snow lost gloves give one wan na hang yeah sounds like fun video games pass note sleeping tents chorus nice friend ooh nice friend ooh verse 2 light pink sky roof sun sinks curfew 20 questions tell truth youve stressed lately yeah something gave nerve touch hand chorus nice friend ooh nice friend ooh instrumental bridge verse 3 church bells ring carry home rice ground looks like snow call bluff call babe back yeah every day feels like home stay bed whole weekend might also nice friend ooh nice friend ooh nice friend ooh
